atividade_principal_code,tipo,situacao,natureza_juridica,participacoes,vitorias,class
47.24-5-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
62.02-3-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.44-0-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.12-1-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
46.45-1-01,MATRIZ,ATIVA,206-2,"MUITO FREQUENTE","MUITO FREQUENTE",SIM
47.31-8-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
41.20-4-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.44-0-05,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
62.02-3-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.41-5-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
96.03-3-04,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.12-1-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.31-8-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
77.11-0-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
49.29-9-01,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
10.91-1-02,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.71-7-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.13-0-02,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.44-0-99,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
61.90-6-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.31-8-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.71-7-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.71-7-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.31-8-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.51-2-01,MATRIZ,ATIVA,230-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.42-3-00,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",SIM
45.30-7-03,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
61.90-6-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","NUNCA VENCEU",SIM
82.30-0-01,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
56.11-2-03,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.71-7-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
62.01-5-01,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
81.29-0-00,MATRIZ,ATIVA,230-5,FREQUENTE,FREQUENTE,SIM
56.11-2-01,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
45.30-7-05,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,SIM
41.20-4-00,MATRIZ,ATIVA,230-5,"POUCO FREQUENTE","NUNCA VENCEU",SIM
14.12-6-03,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.44-0-05,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
18.13-0-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
41.20-4-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
47.44-0-01,MATRIZ,ATIVA,230-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
49.29-9-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
49.29-9-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
47.31-8-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
43.99-1-99,MATRIZ,ATIVA,206-2,FREQUENTE,FREQUENTE,SIM
49.24-8-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
49.29-9-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
00.00-0-00,MATRIZ,BAIXADA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
56.11-2-03,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
49.30-2-01,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","NUNCA VENCEU",SIM
86.30-5-01,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
49.30-2-02,MATRIZ,ATIVA,213-5,FREQUENTE,FREQUENTE,SIM
43.22-3-02,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
00.00-0-00,MATRIZ,BAIXADA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
49.24-8-00,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
41.20-4-00,MATRIZ,ATIVA,206-2,"POUCO FREQUENTE","NUNCA VENCEU",SIM
45.20-0-02,MATRIZ,ATIVA,213-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
82.30-0-01,MATRIZ,ATIVA,213-5,"MODERADAMENTE FREQUENTE","POUCO FREQUENTE",SIM
74.90-1-99,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
46.73-7-00,MATRIZ,ATIVA,206-2,"MODERADAMENTE FREQUENTE","MODERADAMENTE FREQUENTE",SIM
77.11-0-00,MATRIZ,ATIVA,230-5,"POUCO FREQUENTE","POUCO FREQUENTE",SIM
